movie_name,movie_score,imp_aspect,movie_general,movie_cast,movie_music,movie_director,movie_story,movie_scene
tt0068646.csv,7.173311611374408,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 26.65', 'c: 64')","('s: 5.15', 'c: 9')","('s: 18.6520833333', 'c: 42')","('s: 30.6491666667', 'c: 65')","('s: 10.6125', 'c: 31')"
tt0071562.csv,6.8830163043478265,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 37.6020833333', 'c: 96')","('s: 0.125', 'c: 1')","('s: 8.72083333333', 'c: 27')","('s: 31.7958333333', 'c: 82')","('s: 8.375', 'c: 24')"
tt0076759.csv,6.949212271973466,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 11.14375', 'c: 22')","('s: 6.375', 'c: 14')","('s: 16.8833333333', 'c: 44')","('s: 34.3770833333', 'c: 91')","('s: 9.57916666667', 'c: 30')"
tt0080684.csv,7.127804487179487,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 7.9875', 'c: 19')","('s: 6.875', 'c: 12')","('s: 1.3375', 'c: 4')","('s: 40.3166666667', 'c: 91')","('s: 9.87083333333', 'c: 30')"
tt0102926.csv,7.142091194968554,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 74.6349166667', 'c: 165')","('s: 0.8', 'c: 2')","('s: 15.1958333333', 'c: 31')","('s: 26.05', 'c: 75')","('s: 19.55625', 'c: 45')"
tt0103064.csv,6.980914668949771,MOVIE_CAST,"('s: 0', 'c: 0')","('s: 41.6354166667', 'c: 114')","('s: 3.95', 'c: 9')","('s: 21.25', 'c: 47')","('s: 23.9875', 'c: 58')","('s: 24.8625', 'c: 64')"
tt0108052.csv,7.019164862914863,MOVIE_DIRECTOR,"('s: 0', 'c: 0')","('s: 26.9270833333', 'c: 70')","('s: 2.875', 'c: 8')","('s: 32.5725', 'c: 84')","('s: 22.0458333333', 'c: 49')","('s: 8.865', 'c: 20')"
tt0110912.csv,6.878535353535353,MOVIE_DIRECTOR,"('s: 0', 'c: 0')","('s: 13.725', 'c: 44')","('s: 2.175', 'c: 4')","('s: 35.5645833333', 'c: 87')","('s: 25.5833333333', 'c: 60')","('s: 22.13875', 'c: 69')"
tt0111161.csv,7.050753129890454,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 37.2016666667', 'c: 89')","('s: 0.625', 'c: 2')","('s: 4.77083333333', 'c: 11')","('s: 39.5979166667', 'c: 95')","('s: 5.16666666667', 'c: 16')"
tt0112573.csv,7.0488440688775515,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 3.65', 'c: 9')","('s: 5.8875', 'c: 10')","('s: 29.9083333333', 'c: 75')","('s: 32.8132142857', 'c: 83')","('s: 19.5291666667', 'c: 47')"
tt0114814.csv,6.833223987108656,MOVIE_STORY,"('s: 0', 'c: 0')","('s: 30.7041666667', 'c: 80')","('s: 0.125', 'c: 1')","('s: 7.2375', 'c: 20')","('s: 86.3254166667', 'c: 238')","('s: 8.33333333333', 'c: 23')"
